date,home_team,away_team,winner,first_shooter
27-06-2019,Brazil,Paraguay,Brazil,Paraguay
28-06-2019,Colombia,Chile,Chile,Colombia
29-06-2019,Mexico,Costa Rica,Mexico,Mexico
29-06-2019,Uruguay,Peru,Peru,Uruguay
05-07-2019,Morocco,Benin,Benin,Benin
07-07-2019,Madagascar,DR Congo,Madagascar,Madagascar
08-07-2019,Ghana,Tunisia,Tunisia,Ghana
11-07-2019,Ivory Coast,Algeria,Algeria,Algeria
28-07-2019,Mauritius,Réunion,Réunion,
08-09-2019,Tanzania,Burundi,Tanzania,Tanzania
13-10-2019,Chad,Liberia,Chad,
13-10-2019,Gambia,Djibouti,Gambia,
08-10-2020,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina
08-10-2020,Slovakia,Republic of Ireland,Slovakia,Slovakia
08-10-2020,Scotland,Israel,Scotland,Scotland
12-11-2020,Serbia,Scotland,Scotland,Scotland
03-06-2021,Mexico,Costa Rica,Mexico,Mexico
06-06-2021,Honduras,Costa Rica,Honduras,Costa Rica
28-06-2021,France,Switzerland,Switzerland,Switzerland
02-07-2021,Peru,Paraguay,Peru,Paraguay
02-07-2021,Switzerland,Spain,Spain,Spain
03-07-2021,Uruguay,Colombia,Colombia,Colombia
06-07-2021,Italy,Spain,Italy,Italy
06-07-2021,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana
06-07-2021,Argentina,Colombia,Argentina,Colombia
06-07-2021,Guatemala,Guadeloupe,Guadeloupe,Guatemala
11-07-2021,England,Italy,Italy,Italy
16-07-2021,Senegal,Eswatini,Senegal,Eswatini
18-07-2021,Eswatini,Mozambique,Eswatini,Mozambique
18-07-2021,South Africa,Senegal,South Africa,South Africa
19-11-2021,Sri Lanka,Seychelles,Seychelles,
11-12-2021,Morocco,Algeria,Algeria,Algeria
18-12-2021,Qatar,Egypt,Qatar,Qatar
23-01-2022,Burkina Faso,Gabon,Burkina Faso,Gabon
26-01-2022,Ivory Coast,Egypt,Egypt,Ivory Coast
26-01-2022,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
03-02-2022,Cameroon,Egypt,Egypt,Cameroon
05-02-2022,Cameroon,Burkina Faso,Cameroon,Cameroon
06-02-2022,Senegal,Egypt,Senegal,Senegal
25-03-2022,Tajikistan,Uganda,Uganda,
29-03-2022,Kazakhstan,Moldova,Kazakhstan,Moldova
29-03-2022,Senegal,Egypt,Senegal,Senegal
13-06-2022,Australia,Peru,Australia,Australia
14-06-2022,Chile,Ghana,Ghana,Chile
12-07-2022,Zambia,Botswana,Zambia,
13-07-2022,South Africa,Mozambique,Mozambique,
13-07-2022,Senegal,Eswatini,Senegal,
17-07-2022,Mozambique,Senegal,Senegal,
22-09-2022,Thailand,Malaysia,Malaysia,
23-09-2022,Iraq,Oman,Oman,
25-09-2022,Malaysia,Tajikistan,Tajikistan,
16-11-2022,Lithuania,Iceland,Iceland,Lithuania
16-11-2022,Latvia,Estonia,Latvia,Latvia
19-11-2022,Latvia,Iceland,Iceland,Iceland
05-12-2022,Japan,Croatia,Croatia,Japan
06-12-2022,Morocco,Spain,Morocco,Morocco
09-12-2022,Croatia,Brazil,Croatia,Croatia
09-12-2022,Netherlands,Argentina,Argentina,Netherlands
18-12-2022,Argentina,France,Argentina,France
16-06-2023,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
17-06-2023,Guyana,Grenada,Guyana,Guyana
17-06-2023,Suriname,Puerto Rico,Puerto Rico,Suriname
18-06-2023,Croatia,Spain,Spain,Croatia
20-06-2023,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
01-07-2023,India,Lebanon,India,India
04-07-2023,India,Kuwait,India,India
09-07-2023,United States,Canada,United States,Canada
09-07-2023,Orkney,Greenland,Greenland,
12-07-2023,United States,Panama,Panama,United States
13-07-2023,Åland Islands,Falkland Islands,Åland,Åland
14-07-2023,Malawi,Lesotho,Lesotho,
16-07-2023,South Africa,Malawi,South Africa,
07-09-2023,Iraq,India,Iraq,India
10-09-2023,Thailand,Iraq,Iraq,Thailand
13-10-2023,Iraq,Qatar,Qatar,Qatar
21-11-2023,Mexico,Honduras,Mexico,Mexico
02-12-2023,Solomon Islands,New Caledonia,New Caledonia,
28-01-2024,Egypt,DR Congo,DR Congo,Egypt
28-01-2024,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan
29-01-2024,Ivory Coast,Senegal,Ivory Coast,Senegal
30-01-2024,Saudi Arabia,South Korea,South Korea,Saudi Arabia
31-01-2024,Iran,Syria,Iran,Iran
03-02-2024,Cape Verde,South Africa,South Africa,Cape Verde
03-02-2024,Qatar,Uzbekistan,Qatar,Uzbekistan
07-02-2024,Nigeria,South Africa,Nigeria,Nigeria
23-03-2024,Tunisia,Croatia,Croatia,Croatia
26-03-2024,New Zealand,Tunisia,Tunisia,New Zealand
26-03-2024,Wales,Poland,Poland,Poland
26-03-2024,Georgia,Greece,Georgia,Georgia
26-03-2024,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands
26-03-2024,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands
11-06-2024,Lithuania,Estonia,Estonia,Lithuania
01-07-2024,Portugal,Slovenia,Portugal,Slovenia
04-07-2024,Argentina,Ecuador,Argentina,Argentina
05-07-2024,Portugal,France,France,France
05-07-2024,Venezuela,Canada,Canada,Venezuela
06-07-2024,England,Switzerland,England,England
06-07-2024,Uruguay,Brazil,Uruguay,Uruguay
13-07-2024,Canada,Uruguay,Uruguay,Canada
08-09-2024,Tajikistan,Philippines,Tajikistan,
10-09-2024,Cambodia,Sri Lanka,Sri Lanka,Cambodia
08-06-2025,Portugal,Spain,Portugal,Portugal
28-06-2025,Panama,Honduras,Honduras,Panama
29-06-2025,Canada,Guatemala,Guatemala,Canada
29-06-2025,United States,Costa Rica,United States,Costa Rica
13-07-2025,Gozo,Shetland,Gozo,Gozo
17-07-2025,Gozo,Western Isles,Gozo,
13-08-2025,United States Virgin Islands,Turks and Caicos Islands,United States Virgin Islands,
13-11-2025,Iran,Cape Verde,Iran,
16-11-2025,Nigeria,DR Congo,DR Congo,Nigeria
17-11-2025,Cape Verde,Egypt,Egypt,
18-11-2025,Iran,Uzbekistan,Uzbekistan,
23-11-2025,Papua New Guinea,Vanuatu,Vanuatu,
25-11-2025,Palestine,Libya,Palestine,
26-11-2025,Oman,Somalia,Oman,
26-11-2025,Comoros,Yemen,Comoros,
12-12-2025,Algeria,United Arab Emirates,United Arab Emirates,
03-01-2026,Mali,Tunisia,Mali,Tunisia
14-01-2026,Morocco,Nigeria,Morocco,Morocco
17-01-2026,Egypt,Nigeria,Nigeria,Nigeria
